No,Phenotype,Depth,Regenerated_arms,Regeneration,Preserved_arms,Total_arms,Stalk_diameter
E-32638,PA,352,19,1,34,34,4.8
E-32639,PA,630,14,1,18,24.5,3.8
E-32640-1,PR,655,1,1,22,23,4
E-32640-2,PR,655,9,1,25,25,3.5
E-32640-3,PR,655,12,1,4,,3.8
E-32640-4,PR,655,0,0,21,30,
E-32641,PA,346,11,1,42,42,4.4
E-32642,PA,336,0,0,27,32,3.6
E-32643,INT,608,6,1,26,28,3.4
E-32644-1,PR,621,3,1,22,33.5,4.3
E-32644-2,PR,621,1,1,35,35,3.6
E-32655,PA,377,13,1,39,42,4.9
E-32656,PA,392,0,0,39,44.5,5.5
E-32653,PA,599,9,1,21,30,3.9
E-32654,PA,584,0,0,17,21.5,3.5
E-32657-1,PA,450,0,0,32,43.5,4
E-32657-2,PA,450,3,1,38,38,4.6
E-32658,PA,311,29,1,46,46,3.2
E-32659,PA,584,0,0,4,,3.4
E-32660,PA,492,0,0,26,27,4.8
E-32661,PA,482,0,0,2,,4.6
E-32662,PA,211,7,1,21,21,3.5
E-32663,PA,609,0,0,13,25,3.1
E-32664-1,PA,671,0,0,21,22,4.5
E-32664-2,PA,671,2,1,0,,4.7
E-32664-3,PA,671,0,0,0,,4.2
E-32666,PR,522,1,1,29,30,3.7
E-32671,PA,658,1,1,35,41,4.9
E-32674,PA,321,5,1,20,20,1.9
E-33403-1,PA,605,10,1,36,37,4
E-33403-2,PA,605,11,1,9,29,3.7
E-33404,PR,527,1,1,26,30,3.2
E-33405,PA,300,9,1,39,39,3
E-33406-1,PA,287,29,1,44,44,4.5
E-33406-2,PA,287,14,1,47,47,3.9
E-42615,INT,473,0,0,26,26,3
E-42616,PA,536,1,1,36,37,5.3
E-42618,INT,676,1,1,31,32,4.1
E-42619,PA,665,,,,,3.9
E-42620,PR,653,3,1,30,30,3.3
E-42621,PA,619,0,0,24,25,3.9
E-42622,PA,445,20,1,26,27,2.7
E-42623,PR,562,10,1,31,31,3.2
E-42624,PA,627,0,0,6,10,2.3
E-42617,PA,407,2,1,34,34,3.4
E-42636,PA,264,2,1,34,34,3
E-42637,PA,439,,,,,4.1
E-42638-1,PA,486,11,1,25,28,2.4
E-42638-2,PA,486,21,1,25,25,2.5
E-42639,INT,449,0,0,27,27,2.3
E-42640,PR,480,0,0,30,31,3.1
E-42641,PA,434,5,1,19,29,2.3
E-14642,PA,,0,0,24,24,3.1
E-42698-1,PA,419,0,0,22,22,4.7
E-42698-2,PA,419,0,0,26,31,4.5
E-42698-3,PA,419,2,1,24,28,3.8
E-43042-1,PA,274,1,1,28,35.5,4.5
E-45840,PR,712.5,1,1,22,22,3
E-45841,PR,712.5,7,1,18,18,3.8
E-45842,PA,712.5,2,1,17,17,2.6
E-45843,PA,712.5,2,1,26,26,3.7
E-45844,PA,712.5,3,1,20,20,3.7
E-45845,PA,712.5,4,1,28,28,3.5
E-45846,PR,712.5,7,1,23,24,3.1
E-45847,PR,712.5,2,1,28,28,3.3
E-45848,PA,712.5,0,0,19,19,3.2
E-45849,PA,712.5,0,0,22,25.5,3.5
E-45850,PA,712.5,15,1,21,24,3.9
E-45851,PA,716,25,1,22,22,2.7
